iter	RMSE
0	0.947719548
1	0.904733992
2	0.8655085932
3	0.8364142347
4	0.8041688756
5	0.7764652181
6	0.7515864851
7	0.7284715685
8	0.7139185345
9	0.699592343
10	0.6905245592
11	0.6788624074
12	0.6673634161
13	0.657875157
14	0.6474376283
15	0.6379011252
16	0.6291381872
17	0.620397343
18	0.6136986314
19	0.6106724701
20	0.6041711305
21	0.5993372771
22	0.5942847202
23	0.5869395204
24	0.5817431063
25	0.5773213936
26	0.5748749617
27	0.5722299944
28	0.5671727929
29	0.5618349015
30	0.5587658694
31	0.5540383651
32	0.5506557871
33	0.5490015843
34	0.5459364609
35	0.5413822156
36	0.5397200146
37	0.5366441471
38	0.5338169031
39	0.5323001321
40	0.5300054449
41	0.5257311095
42	0.5226917936
43	0.5202855542
44	0.5183482873
45	0.5173417229
46	0.5153952273
47	0.5142968726
48	0.5123455435
49	0.5094541232
50	0.5060560005
51	0.5051166366
52	0.5037016069
53	0.5030330149
54	0.5012812199
55	0.4998112006
56	0.4963567983
57	0.495921448
58	0.4953552175
59	0.4930637809
60	0.4918373286
61	0.4907211148
62	0.4899658279
63	0.4888072843
64	0.4869239044
65	0.4858881989
66	0.4853528351
67	0.4827665351
68	0.4824141329
69	0.4810860001
70	0.4799637536
71	0.478704045
72	0.478507805
73	0.4763209287
74	0.4749662846
75	0.4735499832
76	0.4724091655
77	0.4709983475
78	0.469374351
79	0.4664978277
80	0.4658053478
81	0.4647375353
82	0.4636944838
83	0.4618446037
84	0.4608860911
85	0.458334035
86	0.4572380099
87	0.4566386811
88	0.45574598
89	0.4551790009
90	0.454179796
91	0.4527977441
92	0.4517611657
93	0.4504114032
94	0.4496158534
95	0.4472205289
96	0.4457785089
97	0.4448418622
98	0.4434577157
99	0.4429653519
100	0.4419732703
101	0.4417518104
102	0.4409392392
103	0.4404002653
104	0.4389340196
105	0.4382015906
106	0.4370994292
107	0.4364288259
108	0.4349380989
109	0.4342293564
110	0.4333564309
111	0.4318408738
112	0.4308427601
113	0.4302112703
114	0.4278048715
115	0.4268330848
116	0.4253294528
117	0.4243407896
118	0.4232942782
119	0.4223882187
120	0.4201853318
121	0.4192547287
