iter	Passed	Remaining
0	6	15022
1	20	25692
2	39	33275
3	45	28214
4	57	28733
5	88	36782
6	103	36991
7	120	37623
8	153	42404
9	176	44014
10	211	47767
11	235	48739
12	270	51692
13	296	52690
14	311	51620
15	358	55591
16	377	55136
17	394	54433
18	431	56300
19	455	56486
20	471	55640
21	487	54891
22	509	54872
23	524	54126
24	556	55071
25	570	54310
26	581	53289
27	595	52534
28	605	51618
29	616	50789
30	649	51712
31	668	51533
32	700	52347
33	716	51976
34	725	51101
35	743	50887
36	752	50097
37	760	49242
38	773	48826
39	792	48758
40	809	48544
41	819	47971
42	833	47652
43	841	46997
44	853	46560
45	867	46299
46	898	46917
47	904	46211
48	919	45975
49	930	45587
50	947	45488
51	961	45281
52	971	44834
53	977	44273
54	993	44150
55	1002	43773
56	1015	43518
57	1030	43403
58	1059	43825
59	1070	43548
60	1079	43182
61	1110	43665
62	1122	43427
63	1131	43055
64	1146	42933
65	1173	43287
66	1188	43172
67	1200	42951
68	1215	42829
69	1218	42298
70	1236	42307
71	1251	42219
72	1259	41873
73	1280	41963
74	1285	41563
75	1297	41387
76	1312	41295
77	1321	41036
78	1333	40852
79	1344	40671
80	1362	40680
81	1370	40425
82	1379	40183
83	1391	40027
84	1415	40212
85	1426	40035
86	1442	39999
87	1454	39855
88	1468	39770
89	1484	39749
90	1494	39564
91	1511	39568
92	1527	39546
93	1547	39601
94	1571	39790
95	1582	39624
96	1607	39812
97	1621	39737
98	1632	39600
99	1653	39679
100	1662	39495
101	1681	39520
102	1687	39272
103	1702	39231
104	1714	39099
105	1725	38976
106	1737	38854
107	1749	38752
108	1761	38640
109	1789	38876
110	1800	38758
111	1815	38700
112	1827	38595
113	1836	38433
114	1845	38269
115	1860	38230
116	1871	38125
117	1886	38083
118	1902	38058
119	1917	38033
120	1923	37825
121	1938	37787
122	1964	37973
123	1973	37820
124	1995	37911
125	2006	37811
126	2027	37878
127	2045	37908
128	2070	38049
129	2085	38014
130	2100	37988
131	2109	37835
132	2121	37753
133	2132	37655
134	2144	37568
135	2162	37585
136	2173	37483
137	2187	37448
138	2200	37369
139	2211	37283
140	2223	37201
141	2256	37467
142	2273	37479
143	2283	37352
144	2291	37209
145	2306	37181
146	2311	36996
147	2325	36957
148	2339	36915
149	2354	36886
150	2363	36762
151	2366	36548
152	2383	36558
153	2394	36482
154	2413	36508
155	2431	36539
156	2451	36578
157	2463	36522
158	2478	36495
159	2490	36420
